rank,id,score,path,text
1,679786fa4ec4c33d2da98e03_25,0.519968,formatted,"bari. enviar monthly diciembre + review slides deck pau, qbr y review con marcos."
2,6821e7c544ac3e45b79c6d08_25,0.457258,formatted,actualizacion ultimos detalles porotos q3
3,67a0c2973d58681093abbc1c_12,0.429628,formatted,actualización de porotos q2
4,679786fa4ec4c33d2da98e03_10,0.429451,formatted,actualización de porotos q2
5,67bc72c7e2405306bd90772c_13,0.416653,formatted,iniciativas q2 actualización de iniciativas
6,679786fa4ec4c33d2da98e03_7,0.411633,formatted,porotaje q2 - actualización y apertura de porotos
7,67b337f965d8f9c7ea516a38_22,0.411337,formatted,genova enviar monthly enero entrevistas reu con pm prosa porotaje q2
8,67b337f965d8f9c7ea516a38_16,0.410984,formatted,sync con planning para armar el plan de volumen visa 5 años
9,68a329cacc933d0836257057_17,0.405252,formatted,semana de alineación de las iniciativas para q425 interno + it génova
10,6899edc48dfca8846103ea87_25,0.402029,formatted,propinas: seguimiento cambios alineados para poder probar en agosto e iniciar f&f en septiembre
11,68ac6300c84056a81bf8fce8_21,0.399445,formatted,continuaremos actualizando el business case y presentación de ad para las próximas presentaciones
12,67c84d6e7663bec81a45e701_12,0.398167,formatted,porotagem para q225 presentación de las iniciativas junto a genova it
13,679786fa4ec4c33d2da98e03_4,0.397657,formatted,finalizar carga de wishlist para q2.
14,678e428d4626b0c172284e27_14,0.396311,formatted,[mlc] trade off devoluciones parciales merchant financed para que quede como ayd reu con gva it por scope y ecoconci y gateway por dependencias- quedo in con todos los equipos armar roadmap y cerrar dod para compartir con gva it
15,678e428d4626b0c172284e27_1,0.391571,formatted,alinear con ops cbk plan de roll out para q2
16,678e428d4626b0c172284e27_3,0.391268,formatted,proceso de q2/25: apertura de ticketera 13/01 hasta el 29/01
17,68b594718a9e5ded42125d3e_11,0.390738,formatted,agenda con ach viernes
18,67f3d091a4cabcc4fe0d11b8_19,0.387521,formatted,envío del reporte trimestral de adquirencia a mp agregador
19,67c84d6e7663bec81a45e701_14,0.385549,formatted,bimonetarismo seguimiento de apertura de cuentas de garantía citi en coelsa
20,67a0c2973d58681093abbc1c_23,0.384529,formatted,genova foco push proyectos de automatización prosa apoyo a quezinha por las vacaciones de mari 2 entrevistas
21,68a329cacc933d0836257057_20,0.383993,formatted,actualización de business case y presentación
22,68ac6300c84056a81bf8fce8_14,0.383604,formatted,encendido f&f 25/8 sync con core payments para revisar flujo doméstico e internacional sin casos
23,68ac6300c84056a81bf8fce8_26,0.382861,formatted,plan 2026 revisar deck e impactos de presentación de pato
24,679786fa4ec4c33d2da98e03_23,0.378422,formatted,sef 2025 - impacto en plan mlb (alvarito)
25,67f3d091a4cabcc4fe0d11b8_13,0.378329,formatted,gpt reunión de avances y próximos pasos con milo
26,68a329cacc933d0836257057_16,0.371750,formatted,revisión business case con planning y discovery con genova it respuesta banderas
27,68ac6300c84056a81bf8fce8_17,0.371702,formatted,revisión business case con planning y discovery con genova it respuesta banderas
28,67bc72c7e2405306bd90772c_24,0.371576,formatted,bari review deck cobrand felix pago handover
29,68b594718a9e5ded42125d3e_15,0.369881,formatted,lunes sesión de porotaje r2
30,67a0c2973d58681093abbc1c_13,0.369210,formatted,bimonetarismo apertura de cuentas de garantía citi en coelsa pruebas con mp
31,67a0c2973d58681093abbc1c_6,0.367458,formatted,controles comenzar validación de cálculo de los kpis y validación del roadmap 2025 con marian
32,67b337f965d8f9c7ea516a38_23,0.367228,formatted,bari review deck cobrand felix pago
33,67a0c2973d58681093abbc1c_24,0.367022,formatted,bari review deck cobrand felix pago
34,6821e7c544ac3e45b79c6d08_13,0.365557,formatted,estructuracion del ppt de la automatizacion que integra ia y rpa para descargar analizar y consolidar los mandates
35,67bc72c7e2405306bd90772c_10,0.362682,formatted,mensual de core payments presentación del diseño de liquidación subadquirente conectado en génova
36,68ac6300c84056a81bf8fce8_9,0.362412,formatted,cerrar las visualizaciones para control de contribución de prosa y rollout de tasas naturales
37,67a0c2973d58681093abbc1c_15,0.362219,formatted,traspaso temas pili mlm master flujo internacional continúan pruebas 50 de aprobación y msi santander contrato firmado por mp y en proceso de firma por santander
38,6821e7c544ac3e45b79c6d08_11,0.361831,formatted,avanzar con el mapeo de controles para la iniciativa con ecoconci arbol de kpis
39,6899edc48dfca8846103ea87_21,0.359089,formatted,on-us: kick-off con genova-it para aclarar dudas y avanzar con el discovery
40,67b337f965d8f9c7ea516a38_19,0.358782,formatted,workshop advisors mastercard ajustes finales para el evento de la próxima semana detalle de agenda catering
41,67a0c2973d58681093abbc1c_2,0.358301,formatted,debemos finalizar pre certificación hasta 5marzo
42,6821e7c544ac3e45b79c6d08_6,0.358105,formatted,retomamos el incremento de volumen en todos los flujos gracias al por acompanarnos
43,67bc72c7e2405306bd90772c_4,0.358091,formatted,ampliación de la información solicitada en las iniciativas con génova it
44,679786fa4ec4c33d2da98e03_24,0.355893,formatted,genova: enviar monthy diciembre.
45,67785cff5ee9016270263e78_7,0.355026,formatted,fee collection banco supervielle esta semana vamos a estar haciendo una prueba para ejecutar un fc posterior a esto y estaremos alineando el cobro final del monto adeudado
46,67b337f965d8f9c7ea516a38_1,0.354404,formatted,lograr que conci finalicé desarrollo para nueva casuística
47,67f3d091a4cabcc4fe0d11b8_20,0.353974,formatted,nuevas mesas con con eco conci y genova it mapeando diferentes casuísticas
48,6899edc48dfca8846103ea87_13,0.353582,formatted,sync con euge b por mis vacaciones 19/08 a 05/09
49,68ac6300c84056a81bf8fce8_8,0.353012,formatted,viernes sesiones de porotaje r1 con it
50,67c84d6e7663bec81a45e701_13,0.352997,formatted,revisión de mandates análisis de mandates con impacto para la release de abril 25
51,67a0c2973d58681093abbc1c_7,0.351751,formatted,dashboard scheme enablers soporte en el armado de visualizaciones en tableau
52,67f3d091a4cabcc4fe0d11b8_15,0.351708,formatted,poroto adquirencia directa para big sellers alineación junto al equipo de big sellers por el scope para q2 del análisis de la iniciativa
53,67f3d091a4cabcc4fe0d11b8_6,0.351686,formatted,consensuar nota de génova para q1/2025
54,67b337f965d8f9c7ea516a38_10,0.351082,formatted,bimonetarismo apertura de cuentas de garantía citi en coelsa
55,67bc72c7e2405306bd90772c_12,0.351082,formatted,bimonetarismo apertura de cuentas de garantía citi en coelsa
56,6899edc48dfca8846103ea87_5,0.350510,formatted,revisión plan roll out técnico q4: alinear posibles flujos a probar sin impacto getnet
57,67bc72c7e2405306bd90772c_17,0.348864,formatted,devoluciones parciales mf reu con master y visa para revisar mecanismos actuales con los que opera tbk
58,67a0c2973d58681093abbc1c_21,0.347809,formatted,proyecto mastercard advisors conversación con equipos internos ddm y b2b y pato blanco fechas y alineación con master
59,6821e7c544ac3e45b79c6d08_26,0.347713,formatted,adelantos mpsp a mp alineacion de fechas para salida de la iniciativa
60,679786fa4ec4c33d2da98e03_26,0.346993,formatted,"banderas: kickoff proyecto wallet nfc con tarjetas de terceros (visa/master), retomar monthly 3ds data only con master."
61,67b337f965d8f9c7ea516a38_24,0.346489,formatted,banderas follow ups evento visa planning workshops visa y master planning workshop incentivos advisors
62,68b594718a9e5ded42125d3e_9,0.345079,formatted,agenda con cp mco lunes y miércoles
63,67c84d6e7663bec81a45e701_16,0.343941,formatted,promociones deck sobre tipo de promociones status y plan anual
64,67bc72c7e2405306bd90772c_11,0.343295,formatted,análisis de ruteo para mids génova entender qué mids deberían recibir cada flujo vs escenario actual
65,68a329cacc933d0836257057_3,0.342970,formatted,revisión de la parte impositiva del flujo de liquidación
66,68ac6300c84056a81bf8fce8_10,0.341743,formatted,heatmap de controles existentes por casuística y flujo
67,6821e7c544ac3e45b79c6d08_10,0.341538,formatted,diseno del dashboard de genova end game
68,6821e7c544ac3e45b79c6d08_21,0.341513,formatted,kick off con master para ver el readiness assessment 13/5
69,68a329cacc933d0836257057_1,0.341448,formatted,iniciar pruebas f&f bin visa & ica mastercard - pendiente de la semana pasada
70,67785cff5ee9016270263e78_4,0.341055,formatted,diferencia en la liquidación ecofin
71,67f3d091a4cabcc4fe0d11b8_9,0.339972,formatted,avanzar con el mapeo de controles para la iniciativa con ecoconci
72,67b337f965d8f9c7ea516a38_17,0.339812,formatted,sync con tmo por similitudes con tbk agenda con visa por mecanismos actuales
73,6899edc48dfca8846103ea87_24,0.339780,formatted,pruebas bimo: seguimiento citi para volver a hacer pruebas productivas con liquidación de saldos
74,67785cff5ee9016270263e78_6,0.339191,formatted,bcb 3978 datos obligatorios para pld mandates impactos y desarrollo
75,6821e7c544ac3e45b79c6d08_24,0.338726,formatted,reuniones presenciales con equipo de genova it por iniciativas en curso
76,6821e7c544ac3e45b79c6d08_14,0.337578,formatted,agendas de visita en elo agenda con el equipo de genova it core payments brasil
77,6821e7c544ac3e45b79c6d08_23,0.337339,formatted,follow up con genova it y ecoconci para revisar integridad de info que viajaria para el ecosistema conci
78,678e428d4626b0c172284e27_9,0.337217,formatted,unmatched clearing : presentación del waiver para recuperar las multas acumuladas 820k usd y presentar el proyectado de cuotas futuras hasta 2026 1m uss
79,6821e7c544ac3e45b79c6d08_8,0.337061,formatted,agendas confirmadas para elo day en los dias 13/05 y 15/05
80,67b337f965d8f9c7ea516a38_5,0.336721,formatted,dashboard scheme enablers envío del reporte
81,6899edc48dfca8846103ea87_4,0.335871,formatted,garantía elo: seguimiento a minutas con bb tesorería y legales
82,67a0c2973d58681093abbc1c_19,0.334588,formatted,seguimiento visa y master back de visa con poc y bp de server intern
83,67c84d6e7663bec81a45e701_18,0.334507,formatted,envío de ts a master revisión de ef on going eta propuesta 153 fb del modelo contable para cierre de ad
84,68b594718a9e5ded42125d3e_13,0.334461,formatted,go live prosegur estamos apuntando a iniciarlo el 04 09
85,679786fa4ec4c33d2da98e03_6,0.333487,formatted,controles: armado del roadmap + validación de base transaccional
86,67a0c2973d58681093abbc1c_22,0.332203,formatted,nfc wallet mla con tarjetas de terceros enfoque en dependencias y bp alvarito
87,68b594718a9e5ded42125d3e_17,0.329941,formatted,controles heatmap de controles existentes por casuística y flujo
88,68a329cacc933d0836257057_11,0.329195,formatted,sync con euge b por mis vacaciones 1908 a 0509
89,6899edc48dfca8846103ea87_23,0.328728,formatted,adquirencia directa: actualización de presentación
90,68ac6300c84056a81bf8fce8_7,0.328708,formatted,finalizar el armado del plan progresivo roll out
91,6899edc48dfca8846103ea87_16,0.328512,formatted,msi master: revisión del roadmap con core payments nuevo espacios de pruebas con didi
92,68ac6300c84056a81bf8fce8_5,0.328278,formatted,garantía elo: seguimiento a minutas con bb elo legales mp tesorería y cp local
93,6821e7c544ac3e45b79c6d08_7,0.327650,formatted,estaremos escalando a un volumen mayor durante esta semana debido al periodo de freeze del 19/05 al 03/06
94,67bc72c7e2405306bd90772c_25,0.327213,formatted,banderas planning workshops visa y master workshop advisors martes y miércoles
95,67c84d6e7663bec81a45e701_11,0.326019,formatted,programa micromerchant análisis junto a genova it para adherirse al programa
96,68ac6300c84056a81bf8fce8_23,0.325287,formatted,continuaremos pusheando a citi para poder realizar pruebas productivas con liquidación de saldos en dólares junto al equipo de mp
97,6899edc48dfca8846103ea87_29,0.324789,formatted,plan 2026: colaborar con el deck de grandes historias
98,679786fa4ec4c33d2da98e03_21,0.324327,formatted,"proyecto mastercard advisors (conversación con equipos internos) (ddm) y, b2b y pato blanco"
99,68a329cacc933d0836257057_2,0.324326,formatted,armado de presentación para el workshop
100,67f3d091a4cabcc4fe0d11b8_14,0.323891,formatted,poroto adelanto de cupones de mpsp a mp validación de posibles cambios con citi y alineación de definiciones internas meli
101,68b594718a9e5ded42125d3e_14,0.323740,formatted,plan progresivo roll out debemos tener una segunda sesión con sellers para consensuar
102,678e428d4626b0c172284e27_11,0.322977,formatted,[mlm msi master:] revisión flujo con ac done eta diseño 31/1 sync por termsheet con master y legales revisión de files con ecofin para pasar a ecoconci wip
103,67a0c2973d58681093abbc1c_10,0.322708,formatted,transacciones de subadquirentes recibiendo marcación de wallet payfac conversación con génova it para analizar esfuerzos en la creación de un hack y la necesidad de un tradeoff
104,68ac6300c84056a81bf8fce8_6,0.321724,formatted,pruebas productivas prosegur prevista 01/09
105,67b337f965d8f9c7ea516a38_7,0.321633,formatted,alienacion de iniciativas q225
106,67785cff5ee9016270263e78_8,0.321575,formatted,unmatched clearing armado de plan de cuotas futuras para presentación de nuevo waiver
107,67b337f965d8f9c7ea516a38_14,0.321148,formatted,follow up de propuesta técnica con eco conci y finops revisión de gestión de fee collections
108,67c84d6e7663bec81a45e701_7,0.319241,formatted,comenzaremos reuniones de planificación con génova it
109,679786fa4ec4c33d2da98e03_11,0.318232,formatted,fee collection banco supervielle: el martes 28 estaremos enviando el fee collection a banco supervielle para recuperar los costos financieros perdidos por un mal ruteo de una promoción  ($500m)
110,68b594718a9e5ded42125d3e_5,0.318224,formatted,marce mari y juli priorizarán agenda de mco
111,6821e7c544ac3e45b79c6d08_15,0.317904,formatted,entender el plan de rollout y compartir las ultimas actualizaciones pruebas integradas en stg 02/06 pruebas productivas inicio del rollout 16/06 rollout completo hasta el 30/06
112,6821e7c544ac3e45b79c6d08_16,0.317736,formatted,recientemente las redes publicaron algunos mandates especificos para transacciones de billetera digital que incluyen nuevos plazos de liquidacion y valores de interchange realizar un estudio profundo con los principales cambios e impactos
113,67785cff5ee9016270263e78_9,0.317272,formatted,banco pagador la semana pasada iniciamos con el nuevo acuerdo con banco galicia el costo del servicio es 0135
114,67b337f965d8f9c7ea516a38_11,0.316452,formatted,transporte subte visa nos acercó una serie de preguntas para poder avanzar y lograr la mejora de costos
115,67b337f965d8f9c7ea516a38_3,0.316279,formatted,alineación de iniciativas negocio c génova it
116,678e428d4626b0c172284e27_10,0.315966,formatted,bimonetarismo: apertura de cuentas de garantía en coelsa y viabilidad de apertura de cuentas en usd en otros bancos
117,67bc72c7e2405306bd90772c_18,0.315778,formatted,aceleración de cupones block en pruebas por cambió del proceso mp lending solo le puede mandar a acfin aquellos cupones que tenga el tc aceptado por los sellers estoy siguiendo con gva it y carla scotti
118,67bc72c7e2405306bd90772c_19,0.315659,formatted,workshop visa 19 y 20 de marzo empezar a planear con las áreas
119,67b337f965d8f9c7ea516a38_18,0.315659,formatted,workshop visa 19 y 20 de marzo empezar a planear con las áreas
120,678e428d4626b0c172284e27_4,0.315210,formatted,revisión de kpis adelantos: alinear criterio de cálculo de tpv adelantado con genova it anto y negocio mla
121,6821e7c544ac3e45b79c6d08_9,0.314817,formatted,check point presencial para definicion ficha scope tecnico
122,67b337f965d8f9c7ea516a38_2,0.314749,formatted,coordinar dos certificaciones automatización de lote aclaraciones cbk y nda report fees transaccionales
123,67bc72c7e2405306bd90772c_6,0.314686,formatted,seguimiento tasas naturales relevamiento del proceso actual para armado de reporte de seguimiento
124,6821e7c544ac3e45b79c6d08_18,0.314154,formatted,acceso revision e integracion a bdu
125,67bc72c7e2405306bd90772c_2,0.313992,formatted,comenzar certificación automatización de lote aclaraciones cbk y nda report fees transaccionales
126,68a329cacc933d0836257057_10,0.313505,formatted,incorporar métricas y dimensiones y documentación
127,6899edc48dfca8846103ea87_8,0.313340,formatted,armar el plan de roll out y refinar setups para el capturar tráfico del primer seller
128,68a329cacc933d0836257057_14,0.313013,formatted,fecha f&f 258 dependencia con rollout de internacional master
129,679786fa4ec4c33d2da98e03_13,0.312057,formatted,cambio de plazo de pago en prepagas: desarrollo en las próximas 2 semanas.
130,67f3d091a4cabcc4fe0d11b8_7,0.312017,formatted,euge armado de dashboard de controles de porotaje
131,6899edc48dfca8846103ea87_7,0.311464,formatted,amex informó 3 semanas para configurar archivo de conciliación pd no fue aclarado en reuniones previas
132,68a329cacc933d0836257057_13,0.310909,formatted,pruebas exitosas con didi chech con ecoconci revisión business case para stori y didi
133,67a0c2973d58681093abbc1c_25,0.310724,formatted,banderas fup proyecto wallet nfc con tarjetas de terceros visamaster scopes proyectos advisors master planning workshops visa y master
134,67f3d091a4cabcc4fe0d11b8_8,0.310528,formatted,avanzar en el mvp de dashboard de controles por site
135,68b594718a9e5ded42125d3e_16,0.309622,formatted,miércoles cierre de ticketera smpr
136,67bc72c7e2405306bd90772c_7,0.309498,formatted,onboarding continuar con el armado del deck
137,67b337f965d8f9c7ea516a38_6,0.309498,formatted,onboarding continuar con el armado del deck
138,67a0c2973d58681093abbc1c_5,0.309166,formatted,onboarding continuar con el armado del deck
139,6899edc48dfca8846103ea87_19,0.308735,formatted,dcc: reunión con fexco y it para el fx provider
140,67bc72c7e2405306bd90772c_21,0.308327,formatted,revisión de propuestas a mastercard advisors 25 ideas avaliadas y 6 proyectos para priorización
141,67f3d091a4cabcc4fe0d11b8_11,0.307568,formatted,elo cuentas para liquidación y anticipación entender con el equipo de tesorería sobre las negociaciones para el banco liquidador para el nuevo flujo de elo
142,6899edc48dfca8846103ea87_27,0.307379,formatted,12/ago full day en curso de genai
143,6899edc48dfca8846103ea87_3,0.307280,formatted,armado del deck para el workshop / cerrar definiciones para ecosistema conci
144,67785cff5ee9016270263e78_10,0.306650,formatted,[mlm] reporte para mp auditoria primer envio 8125
145,67a0c2973d58681093abbc1c_3,0.306073,formatted,iniciar la revisión final de los porotos con los ownersites
